sentence_key	texte_expe	type-de-phrase	audio-type	num_syll	spksex	spk	stimnum	pronom	adj	adj_pos
181-we-CL-FI-FI-0-14-LU-M-quelle_avocate_grandiose_a_défendu_cet_accusé	quelle avocate grandiose a défendu cet accusé ?	wh-ex-situ	clair	14	M	LU	181	quelle	grandiose	POST
182-we-CL-FI-FI-0-13-LU-M-quelle_députée_mauvaise_a_gagné_les_élections	quelle députée mauvaise a gagné les élections ?	wh-ex-situ	clair	13	M	LU	182	quelle	manipulateur	POST
183-we-DE-FI-FI-0-13-LU-M-quelle_élève_enthousiaste_le_prof_a_félicitée	quelle élève enthousiaste le prof a félicitée ?	wh-ex-situ	delex	13	M	LU	183	quelle	enthousiaste	POST
184-we-DE-FI-FI-0-11-LU-M-quelle_fin_étonnante_l_auteur_a_divulguée	quelle fin étonnante l’auteur a divulguée ?	wh-ex-situ	delex	11	M	LU	184	quelle	étonnant	POST
185-we-DE-FI-FI-0-11-LU-M-quelle_tarte_appétissante_elle_a_cuisinée	quelle tarte appétissante elle a cuisinée ?	wh-ex-situ	delex	11	M	LU	185	quelle	appétissant	POST
186-we-OR-FI-FI-0-9-LU-M-quel_curieux_jeu_le_croupier_adore	quel curieux jeu le croupier adore ?	wh-ex-situ	orig	9	M	LU	186	quel	curieux	PRE
187-we-OR-FI-FI-0-13-LU-M-quel_repas_délicieux_alexandre_a_cuisiné	quel repas délicieux Alexandre a cuisiné ?	wh-ex-situ	orig	13	M	LU	187	quel	délicieux	POST
188-we-CL-FI-FI-0-11-MR-F-quel_méchant_coupable_le_juge_a_condamné	quel méchant coupable le juge a condamné ?	wh-ex-situ	clair	11	F	MR	188	quel	méchant	PRE
189-we-CL-FI-FI-0-9-MR-F-quelle_fabuleuse_jupe_elle_a_achetée	quelle fabuleuse jupe elle a achetée ?	wh-ex-situ	clair	9	F	MR	189	quelle	fabuleux	PRE
190-we-DE-FI-FI-0-12-MR-F-quel_excellent_dessert_paul_a_apporté	quel excellent dessert Paul a apporté ?	wh-ex-situ	delex	12	F	MR	190	quel	excellent	PRE
191-we-DE-FI-FI-0-12-MR-F-quel_magnifique_bal_pauline_a_organisé	quel magnifique bal Pauline a organisé ?	wh-ex-situ	delex	12	F	MR	191	quel	magnifique	PRE
192-we-DE-FI-FI-0-8-MR-F-quelle_voiture_énorme_il_désire	quelle voiture énorme il désire ?	wh-ex-situ	delex	8	F	MR	192	quelle	énorme	POST
193-we-OR-FI-FI-0-11-MR-F-quel_agréable_paysage_il_a_peint	quel agréable paysage il a peint ?	wh-ex-situ	orig	11	F	MR	193	quel	agréable	PRE
194-we-OR-FI-FI-0-8-MR-F-quel_merveilleux_homme_est_parti	quel merveilleux homme est parti ?	wh-ex-situ	orig	8	F	MR	194	quel	merveilleux	PRE
195-we-CL-FI-FI-0-14-MT-F-quel_étudiant_intelligent_a_écrit_ce_devoir	quel étudiant intelligent a écrit ce devoir ?	wh-ex-situ	clair	14	F	MT	195	quel	intelligent	POST
196-we-CL-FI-FI-0-11-MT-F-quel_gentil_garçon_a_envoyé_cette_lettre	quel gentil garçon a envoyé cette lettre ?	wh-ex-situ	clair	11	F	MT	196	quel	gentil	PRE
197-we-CL-FI-FI-0-12-MT-F-quel_objet_utile_l_artisan_a_fabriqué	quel objet utile l’artisan a fabriqué ?	wh-ex-situ	clair	12	F	MT	197	quel	utile	POST
198-we-DE-FI-FI-0-11-MT-F-quel_ancien_cinéma_la_ville_a_détruit	quel ancien cinéma la ville a détruit ?	wh-ex-situ	delex	11	F	MT	198	quel	vieux	PRE
199-we-DE-FI-FI-0-10-MT-F-quelle_grande_footballeuse_a_marqué_ce_but	quelle grande footballeuse a marqué ce but ?	wh-ex-situ	delex	10	F	MT	199	quelle	grand	PRE
200-we-OR-FI-FI-0-12-MT-F-quel_charmant_garçon_caroline_a_invité	quel charmant garçon Caroline a invité ?	wh-ex-situ	orig	12	F	MT	200	quel	charmant	PRE
201-we-OR-FI-FI-0-11-MT-F-quelle_boîte_adorable_l_artiste_a_fabriquée	quelle boîte adorable l’artiste a fabriquée ?	wh-ex-situ	orig	11	F	MT	201	quelle	adorable	POST
202-we-OR-FI-FI-0-10-MT-F-quelle_femme_superbe_oscar_veut_embrasser	quelle femme superbe Oscar veut embrasser ?	wh-ex-situ	orig	10	F	MT	202	quelle	superbe	POST
203-we-CL-FI-FI-0-11-SI-M-quel_chaton_mignon_charlotte_a_adopté	quel chaton mignon Charlotte a adopté ?	wh-ex-situ	clair	11	M	SI	203	quel	mignon	POST
204-we-CL-FI-FI-0-10-SI-M-quel_livre_parfait_marc_a_terminé	quel livre parfait Marc a terminé ?	wh-ex-situ	clair	10	M	SI	204	quel	parfait	POST
205-we-CL-FI-FI-0-11-SI-M-quelle_violente_tempête_a_détruit_la_maison	quelle violente tempête a détruit la maison ?	wh-ex-situ	clair	11	M	SI	205	quelle	violent	PRE
206-we-DE-FI-FI-0-10-SI-M-quelle_minuscule_statuette_le_sage_adore	quelle minuscule statuette le sage adore ?	wh-ex-situ	delex	10	M	SI	206	quelle	minuscule	PRE
207-we-DE-FI-FI-0-9-SI-M-quelle_peinture_somptueuse_ils_ont_achetée	quelle peinture somptueuse ils ont achetée ?	wh-ex-situ	delex	9	M	SI	207	quelle	somptueux	POST
