sentence_key	OLD1_sentence_key	texte_expe	item	type-de-phrase	audio_type	task_question_type	list	spk_sex	spk_id	num_syll	stim_num	wh-type	presence-eske	The Voice Contest	wh-in-situ-final	func-wh	OK_praat_seg	neg	texte	OK_Expe_perception	dossier-brat	OLDsentence_key	nombre-de-mots	pos-wh	quality-wh	rheto-wh	subj-DP	subj-clit	subj-ce	nombre-subj	inverted-subj	comp	nombre-comp	lex-restr	partitif	est-ce-que	nombre_verbes	flexion-et	type-de-verbe-et	extraction-site	notes	partie-a-enlever	nombre-partie-a-enlever-mots	nombre-mots-a-enlever	dislocation-droite	attention-dernier-mot	fin-partie-enlever	locuteur	texte_turn_brut	spk_age	OLD_sentence_key
001-is.it.decla-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875	001-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça	1	decla	clair	is.it.decla	A	M	ch_OB1	5	001	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	NOAGE	001-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875
002-is.it.decla-de-OR-1-B-0-05-AL-M-WE2_A001_1952s875	061-de-OR-1-B-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça	1	decla	orig	is.it.decla	B	M	ch_OB1	5	002	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	NOAGE	061-de-OR-1-B-0-05-AL-M-WE2_A001_1952s875
003-is.it.decla-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875	121-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça	1	decla	delex	is.it.decla	C	M	ch_OB1	5	003	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	NOAGE	121-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875
004-is.it.decla-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875	001-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça	1	decla	clair	is.it.question	D	M	ch_OB1	5	004	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	NOAGE	001-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875
005-is.it.decla-de-OR-1-B-0-05-AL-M-WE2_A001_1952s875	061-de-OR-1-B-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça	1	decla	orig	is.it.question	E	M	ch_OB1	5	005	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	NOAGE	061-de-OR-1-B-0-05-AL-M-WE2_A001_1952s875
006-is.it.decla-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875	121-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça	1	decla	delex	is.it.question	F	M	ch_OB1	5	006	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	NOAGE	121-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875
007-is.it.decla-de-OR-2-A-0-06-AW-F-WE2_A003_2972s210	087-de-OR-2-A-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de loire	2	decla	orig	is.it.decla	A	F	KC3	6	007	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	NOAGE	087-de-OR-2-C-0-06-AW-F-WE2_A003_2972s210
008-is.it.decla-de-DE-2-B-0-06-AW-F-WE2_A003_2972s210	147-de-DE-2-B-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de loire	2	decla	delex	is.it.decla	B	F	KC3	6	008	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	NOAGE	147-de-DE-2-A-0-06-AW-F-WE2_A003_2972s210
009-is.it.decla-de-CL-2-C-0-06-AW-F-WE2_A003_2972s210	027-de-CL-2-C-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de loire	2	decla	clair	is.it.question	C	F	KC3	6	009	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	NOAGE	027-de-CL-2-B-0-06-AW-F-WE2_A003_2972s210
010-is.it.decla-de-OR-2-A-0-06-AW-F-WE2_A003_2972s210	087-de-OR-2-A-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de loire	2	decla	orig	is.it.question	D	F	KC3	6	010	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	NOAGE	087-de-OR-2-C-0-06-AW-F-WE2_A003_2972s210
