sentence_key	texte_expe	item	type-de-phrase	audio_type	list	spk_sex	spk_id	num_syll	stim_num	wh-type	presence-eske	The Voice Contest	wh-in-situ-final	func-wh	OK_praat_seg	neg	texte	OK_Expe_perception	dossier-brat	OLDsentence_key	nombre-de-mots	pos-wh	quality-wh	rheto-wh	subj-DP	subj-clit	subj-ce	nombre-subj	inverted-subj	comp	nombre-comp	lex-restr	partitif	est-ce-que	nombre_verbes	flexion-et	type-de-verbe-et	extraction-site	notes	partie-a-enlever	nombre-partie-a-enlever-mots	nombre-mots-a-enlever	dislocation-droite	attention-dernier-mot	fin-partie-enlever	locuteur	texte_turn_brut	spk_age	OLD_sentence_key
001-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça	1	decla	clair	A	M	ch_OB1	5	1	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	NOAGE	001-de-CL-1-A-0-05-AL-M-WE2_A001_1952s875
061-de-OR-1-B-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça	1	decla	orig	B	M	ch_OB1	5	61	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	NOAGE	061-de-OR-1-B-0-05-AL-M-WE2_A001_1952s875
121-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875	je comprends bien ça	1	decla	delex	C	M	ch_OB1	5	121	NO	NO	4	NO	NO	YES	NO	je comprends bien ça  	YES	WE2_decl_4	WE2_A001_1952s875	4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	je comprends bien ça 	NOAGE	121-de-DE-1-C-0-05-AL-M-WE2_A001_1952s875
027-de-CL-2-C-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de loire	2	decla	clair	C	F	KC3	6	27	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	NOAGE	027-de-CL-2-B-0-06-AW-F-WE2_A003_2972s210
087-de-OR-2-A-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de loire	2	decla	orig	A	F	KC3	6	87	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	NOAGE	087-de-OR-2-C-0-06-AW-F-WE2_A003_2972s210
147-de-DE-2-B-0-06-AW-F-WE2_A003_2972s210	j'aime bien les bords de loire	2	decla	delex	B	F	KC3	6	147	NO	NO	4	NO	NO	YES	NO	j'aime bien les bords de Loire  	YES	WE2_decl_6	WE2_A003_2972s210	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	j'aime bien les bords de Loire 	NOAGE	147-de-DE-2-A-0-06-AW-F-WE2_A003_2972s210
002-de-CL-3-B-0-10-AW-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	3	decla	clair	B	F	KC3	10	2	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	NOAGE	002-de-CL-3-C-0-10-AW-F-WE2_A003_4686s24
062-de-OR-3-C-0-10-AW-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	3	decla	orig	C	F	KC3	10	62	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	NOAGE	062-de-OR-3-A-0-10-AW-F-WE2_A003_4686s24
122-de-DE-3-A-0-10-AW-F-WE2_A003_4686s24	j'ai entendu une espagnole aussi	3	decla	delex	A	F	KC3	10	122	NO	NO	3	NO	NO	YES	NO	ouais j'ai entendu une espagnole aussi  	YES	WE2_decl_6	WE2_A003_4686s24	6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk1	ouais j'ai entendu une espagnole aussi 	NOAGE	122-de-DE-3-B-0-10-AW-F-WE2_A003_4686s24
028-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98	il fait jour le matin et le soir  	4	decla	clair	A	F	ZU9	8	28	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	028-de-CL-4-A-0-08-BC-F-WE2_A007_1392s98
088-de-OR-4-B-0-08-BC-F-WE2_A007_1392s98	il fait jour le matin et le soir  	4	decla	orig	B	F	ZU9	8	88	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	088-de-OR-4-B-0-08-BC-F-WE2_A007_1392s98
148-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98	il fait jour le matin et le soir  	4	decla	delex	C	F	ZU9	8	148	NO	NO	3	NO	NO	YES	NO	et maintenant il fait jour le matin et le soir  	YES		WE2_A007_1392s98		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	148-de-DE-4-C-0-08-BC-F-WE2_A007_1392s98
003-de-CL-5-C-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	5	decla	clair	C	F	ZU9	8	3	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	NOAGE	003-de-CL-5-B-0-08-BC-F-WE2_A007_1541s511
063-de-OR-5-A-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	5	decla	orig	A	F	ZU9	8	63	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	NOAGE	063-de-OR-5-C-0-08-BC-F-WE2_A007_1541s511
123-de-DE-5-B-0-08-BC-F-WE2_A007_1541s511	je pense que c'est le quartier bannier	5	decla	delex	B	F	ZU9	8	123	NO	NO	4	NO	NO	YES	NO	je pense que c'est le quartier Bannier  	YES	WE2_decl_7	WE2_A007_1541s511	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	je pense que c'est le quartier Bannier 	NOAGE	123-de-DE-5-A-0-08-BC-F-WE2_A007_1541s511
029-de-CL-6-B-0-12-BC-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	6	decla	clair	B	F	ZU9	12	29	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	029-de-CL-6-C-0-12-BC-F-WE2_A007_2577s594
089-de-OR-6-C-0-12-BC-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	6	decla	orig	C	F	ZU9	12	89	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	089-de-OR-6-A-0-12-BC-F-WE2_A007_2577s594
149-de-DE-6-A-0-12-BC-F-WE2_A007_2577s594	je me rend compte que tu as un très léger accent  	6	decla	delex	A	F	ZU9	12	149	NO	NO	3	NO	NO	YES	NO	tu vois je me rend compte que tu as un très léger accent  	YES		WE2_A007_2577s594		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2		NOAGE	149-de-DE-6-B-0-12-BC-F-WE2_A007_2577s594
004-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554	je trouve que c'est dommage	7	decla	clair	A	F	HF8	6	4	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	NOAGE	004-de-CL-7-A-0-06-AU-F-WE2_A008_1238s554
064-de-OR-7-B-0-06-AU-F-WE2_A008_1238s554	je trouve que c'est dommage	7	decla	orig	B	F	HF8	6	64	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	NOAGE	064-de-OR-7-B-0-06-AU-F-WE2_A008_1238s554
124-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554	je trouve que c'est dommage	7	decla	delex	C	F	HF8	6	124	NO	NO	4	NO	NO	YES	NO	et ça je trouve que c'est dommage  	YES	WE2_decl_7	WE2_A008_1238s554	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	et ça je trouve que c'est dommage 	NOAGE	124-de-DE-7-C-0-06-AU-F-WE2_A008_1238s554
030-de-CL-8-C-0-12-AU-F-WE2_A008_3247s562	c'est intéressant	8	decla	clair	C	F	HF8	12	30	NO	NO	3	NO	NO	YES	NO	bah tu peux donner ton avis c'est intéressant  	YES	WE2_decl_8	WE2_A008_3247s562	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	bah tu peux donner ton avis c'est intéressant 	NOAGE	030-de-CL-8-B-0-12-AU-F-WE2_A008_3247s562
090-de-OR-8-A-0-12-AU-F-WE2_A008_3247s562	c'est intéressant	8	decla	orig	A	F	HF8	12	90	NO	NO	3	NO	NO	YES	NO	bah tu peux donner ton avis c'est intéressant  	YES	WE2_decl_8	WE2_A008_3247s562	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	bah tu peux donner ton avis c'est intéressant 	NOAGE	090-de-OR-8-C-0-12-AU-F-WE2_A008_3247s562
150-de-DE-8-B-0-12-AU-F-WE2_A008_3247s562	c'est intéressant	8	decla	delex	B	F	HF8	12	150	NO	NO	3	NO	NO	YES	NO	bah tu peux donner ton avis c'est intéressant  	YES	WE2_decl_8	WE2_A008_3247s562	8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	bah tu peux donner ton avis c'est intéressant 	NOAGE	150-de-DE-8-A-0-12-AU-F-WE2_A008_3247s562
005-de-CL-9-B-0-07-AU-F-WE2_A008_3922s864	c'est pas que la langue de banlieue	9	decla	clair	B	F	HF8	7	5	NO	NO	4	NO	NO	YES	NO	c'est pas que la langue de banlieue  	YES	WE2_decl_7	WE2_A008_3922s864	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	c'est pas que la langue de banlieue 	NOAGE	005-de-CL-9-C-0-07-AU-F-WE2_A008_3922s864
065-de-OR-9-C-0-07-AU-F-WE2_A008_3922s864	c'est pas que la langue de banlieue	9	decla	orig	C	F	HF8	7	65	NO	NO	4	NO	NO	YES	NO	c'est pas que la langue de banlieue  	YES	WE2_decl_7	WE2_A008_3922s864	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	c'est pas que la langue de banlieue 	NOAGE	065-de-OR-9-A-0-07-AU-F-WE2_A008_3922s864
125-de-DE-9-A-0-07-AU-F-WE2_A008_3922s864	c'est pas que la langue de banlieue	9	decla	delex	A	F	HF8	7	125	NO	NO	4	NO	NO	YES	NO	c'est pas que la langue de banlieue  	YES	WE2_decl_7	WE2_A008_3922s864	7	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	spk2	c'est pas que la langue de banlieue 	NOAGE	125-de-DE-9-B-0-07-AU-F-WE2_A008_3922s864
